,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
NNBench.reduce,2,25,3,1,4,2,-0.040343908259715726,-1.0234117867889325
NNBench.main,3,187,77,5,1,1,4.064450376117833,1.865371496536162
Map.randomizeBytes,3,1,5,2,3,2,-0.10309628408712204,-1.0583737069935746
Map.map,1,62,36,6,4,2,2.4621520232484637,-0.6741647487707775
Map.configure,3,56,10,2,1,0,0.13418284969437816,0.2875694169233434
PiBenchmark.launch,8,34,67,5,4,2,3.096587935821099,-1.0741680704925307
PiBenchmark.main,3,187,14,2,1,1,1.244525536222729,2.0677120141995795
PiMapper.configure,3,56,2,1,1,0,-0.3593358961774922,0.3210647637225699
PiMapper.map,1,62,18,4,4,2,1.406428962157057,-0.6019507486458766
PiMapper.close,348,64,3,1,0,3,-0.6071054417767884,3.2487903604164936
PiReducer.configure,3,56,3,1,1,0,-0.324993111503659,0.3184531104593459
PiReducer.reduce,2,25,13,4,4,2,0.9594133439222308,-1.087334681501475
PiReducer.close,348,64,11,1,0,3,-0.33236316438612307,3.2278971343107012
RandomWriter.reduce,2,25,3,1,4,2,-0.040343908259715726,-1.0234117867889325
RandomWriter.main,3,187,74,6,1,1,4.1801984905775385,1.8606043356324002
Map.randomizeBytes,3,1,5,2,3,2,-0.10309628408712204,-1.0583737069935746
Map.map,1,62,26,3,4,2,1.4623947710665173,-0.610241854058235
Map.configure,3,56,16,2,1,0,0.34023955773737713,0.27189949734399915
Sort.printUsage,19,9,4,1,0,0,-0.819085862347607,0.09377777736152094
Sort.main,3,187,69,7,1,1,4.227261035689578,1.8610604812550864
WordCount.printUsage,19,9,4,1,0,0,-0.819085862347607,0.09377777736152094
WordCount.main,3,187,46,7,1,1,3.437376988191415,1.9211285063092398
MapClass.map,1,62,8,2,4,2,0.6254481784563154,-0.550629974626768
Reduce.reduce,2,25,7,2,4,2,0.31580369891682186,-1.0464605205352628
Configuration.addDefaultResource,3,1,3,1,1,0,-0.7334926163190482,-0.4333209854803661
Configuration.addDefaultResource,3,1,3,1,1,0,-0.7334926163190482,-0.4333209854803661
Configuration.addDefaultResource,3,1,3,1,1,0,-0.7334926163190482,-0.4333209854803661
